,sample,study,project,condition,rep_id,contact,creator,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Growth Rate (1/hr),Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,Biological Replicates,R1,R2,BAM,alignment,DOI,GEO,Published,SRX,Run,Notes,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
ecoli_00267,efeU__menFentC_ale39__1,Pseudogene Repair,efeU,menFentC_ale39,1,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC.39.91.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.98,Endpoint,Clonal,HiSeq 4000,,2,,,efeU__menFentC_ale39__1.bam,93.68,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036615,SRR8218067,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale39,TRUE,TRUE
ecoli_00268,efeU__menFentC_ale39__2,Pseudogene Repair,efeU,menFentC_ale39,2,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC.39.91.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.98,Endpoint,Clonal,HiSeq 4000,,2,,,efeU__menFentC_ale39__2.bam,93.85,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036616,SRR8218068,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale39,TRUE,TRUE
ecoli_00269,efeU__menFentC_ale29__1,Pseudogene Repair,efeU,menFentC_ale29,1,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC.29.82.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),37,7,,Batch,0.9,Endpoint,Clonal,HiSeq 4000,,2,,,efeU__menFentC_ale29__1.bam,93.36,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036617,SRR8218069,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale29,TRUE,TRUE
ecoli_00270,efeU__menFentC_ale29__2,Pseudogene Repair,efeU,menFentC_ale29,2,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC.29.82.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),37,7,,Batch,0.9,Endpoint,Clonal,HiSeq 4000,,2,,,efeU__menFentC_ale29__2.bam,93.1,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036618,SRR8218070,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale29,TRUE,TRUE
ecoli_00271,efeU__menFentC_ale30__1,Pseudogene Repair,efeU,menFentC_ale30,1,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC.30.83.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),37,7,,Batch,0.95,Endpoint,Clonal,HiSeq 4000,,2,,,efeU__menFentC_ale30__1.bam,93.94,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036619,SRR8218071,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale30,TRUE,TRUE
ecoli_00272,efeU__menFentC_ale30__2,Pseudogene Repair,efeU,menFentC_ale30,2,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC.30.83.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),37,7,,Batch,0.95,Endpoint,Clonal,HiSeq 4000,,2,,,efeU__menFentC_ale30__2.bam,92.83,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036620,SRR8218072,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale30,TRUE,TRUE
ecoli_00273,efeU__menFentCubiC_ale36__1,Pseudogene Repair,efeU,menFentCubiC_ale36,1,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC_ubiC.36.86.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.58,Endpoint,Clonal,HiSeq 4000,Also used in quinone study,2,,,efeU__menFentCubiC_ale36__1.bam,92.9,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036621,SRR8218073,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale36,TRUE,TRUE
ecoli_00274,efeU__menFentCubiC_ale36__2,Pseudogene Repair,efeU,menFentCubiC_ale36,2,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC_ubiC.36.86.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.58,Endpoint,Clonal,HiSeq 4000,Also used in quinone study,2,,,efeU__menFentCubiC_ale36__2.bam,93.44,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036622,SRR8218074,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale36,TRUE,TRUE
ecoli_00275,efeU__menFentCubiC_ale37__1,Pseudogene Repair,efeU,menFentCubiC_ale37,1,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC_ubiC.37.25.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.46,Endpoint,Clonal,HiSeq 4000,Also used in quinone study,2,,,efeU__menFentCubiC_ale37__1.bam,94.89,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036623,SRR8218075,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale37,TRUE,TRUE
ecoli_00276,efeU__menFentCubiC_ale37__2,Pseudogene Repair,efeU,menFentCubiC_ale37,2,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC_ubiC.37.25.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.46,Endpoint,Clonal,HiSeq 4000,Also used in quinone study,2,,,efeU__menFentCubiC_ale37__2.bam,94.62,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036624,SRR8218076,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale37,TRUE,TRUE
ecoli_00277,efeU__menFentCubiC_ale38__1,Pseudogene Repair,efeU,menFentCubiC_ale38,1,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC_ubiC.38.28.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.58,Endpoint,Clonal,HiSeq 4000,Also used in quinone study,2,,,efeU__menFentCubiC_ale38__1.bam,95.65,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036625,SRR8218077,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale38,TRUE,TRUE
ecoli_00278,efeU__menFentCubiC_ale38__2,Pseudogene Repair,efeU,menFentCubiC_ale38,2,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli EEP_menF_entC_ubiC.38.28.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.58,Endpoint,Clonal,HiSeq 4000,Also used in quinone study,2,,,efeU__menFentCubiC_ale38__2.bam,94.94,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036626,SRR8218078,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale38,TRUE,TRUE
ecoli_00289,nquinone__delubiC__1,Naphthoquinone,nquinone,delubiC,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli K-12 MG1655 del_ubiC,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/HRS_QN5A_S23_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN5A_S23_L003_R2_001.fastq.gz,,,https://doi.org/10.1073/pnas.1909987116,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:delubiC,TRUE,TRUE
ecoli_00290,nquinone__delubiC__2,Naphthoquinone,nquinone,delubiC,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli K-12 MG1655 del_ubiC,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/HRS_QN5B_S24_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN5B_S24_L003_R2_001.fastq.gz,,,https://doi.org/10.1073/pnas.1909987116,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:delubiC,TRUE,TRUE
ecoli_00291,nquinone__ubiC_ale1__1,Naphthoquinone,nquinone,ubiC_ale1,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_ubiC.1.52.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/HRS_QN6A_S34_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN6A_S34_L003_R2_001.fastq.gz,,,https://doi.org/10.1073/pnas.1909987116,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale1,TRUE,TRUE
ecoli_00292,nquinone__ubiC_ale1__2,Naphthoquinone,nquinone,ubiC_ale1,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_ubiC.1.52.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/HRS_QN6B_S71_L004_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN6B_S71_L004_R2_001.fastq.gz,,,https://doi.org/10.1073/pnas.1909987116,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale1,TRUE,TRUE
ecoli_00293,nquinone__ubiC_ale2__1,Naphthoquinone,nquinone,ubiC_ale2,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_ubiC.2.54.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/HRS_QN7A_S25_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN7A_S25_L003_R2_001.fastq.gz,,,https://doi.org/10.1073/pnas.1909987116,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale2,TRUE,TRUE
ecoli_00294,nquinone__ubiC_ale2__2,Naphthoquinone,nquinone,ubiC_ale2,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_ubiC.2.54.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/HRS_QN7B_S26_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN7B_S26_L003_R2_001.fastq.gz,,,https://doi.org/10.1073/pnas.1909987116,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale2,TRUE,TRUE
ecoli_00295,nquinone__ubiC_ale3__1,Naphthoquinone,nquinone,ubiC_ale3,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_ubiC.3.53.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/HRS_QN8A_S27_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN8A_S27_L003_R2_001.fastq.gz,,,https://doi.org/10.1073/pnas.1909987116,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale3,TRUE,TRUE
ecoli_00296,nquinone__ubiC_ale3__2,Naphthoquinone,nquinone,ubiC_ale3,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_ubiC.3.53.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/HRS_QN8B_S28_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN8B_S28_L003_R2_001.fastq.gz,,,https://doi.org/10.1073/pnas.1909987116,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale3,TRUE,TRUE
ecoli_00297,nquinone__ubiC_ale4__1,Naphthoquinone,nquinone,ubiC_ale4,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_ubiC.4.52.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/HRS_QN9A_S75_L004_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN9A_S75_L004_R2_001.fastq.gz,,,https://doi.org/10.1073/pnas.1909987116,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale4,TRUE,TRUE
ecoli_00298,nquinone__ubiC_ale4__2,Naphthoquinone,nquinone,ubiC_ale4,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_ubiC.4.52.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/HRS_QN9B_S69_L004_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN9B_S69_L004_R2_001.fastq.gz,,,https://doi.org/10.1073/pnas.1909987116,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale4,TRUE,TRUE
ecoli_00299,nquinone__delpdhR__1,Naphthoquinone,nquinone,delpdhR,1,Amitesh Anand,Amitesh Anand,8/7/2018,Escherichia coli del_pdhR,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.7,No,,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/EEP_HRS_pdhR_1_aerobic_08072018_S33_L008_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/EEP_HRS_pdhR_1_aerobic_08072018_S33_L008_R2_001.fastq.gz,,,,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:delpdhR,TRUE,TRUE
ecoli_00300,nquinone__delpdhR__2,Naphthoquinone,nquinone,delpdhR,2,Amitesh Anand,Amitesh Anand,8/7/2018,Escherichia coli del_pdhR,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.7,No,,HiSeq 4000,,2,s3://precise-db/raw_data/nquinone/EEP_HRS_pdhR_2_aerobic_08072018_S34_L008_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/EEP_HRS_pdhR_2_aerobic_08072018_S34_L008_R2_001.fastq.gz,,,,,1,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nquinone:delpdhR,TRUE,TRUE
ecoli_00301,quinone__glu_ale4__1,Respiratory quinone,quinone,glu_ale4,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli GLU.4.403.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN3A_S19_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN3A_S19_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:glu_ale4,TRUE,TRUE
ecoli_00302,quinone__glu_ale4__2,Respiratory quinone,quinone,glu_ale4,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli GLU.4.403.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN3B_S20_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN3B_S20_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:glu_ale4,TRUE,TRUE
ecoli_00303,quinone__delmenF__1,Respiratory quinone,quinone,delmenF,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli K-12 MG1655 del_menF,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN10A_R1.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN10A_R2.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:delmenF,TRUE,TRUE
ecoli_00304,quinone__delmenF__2,Respiratory quinone,quinone,delmenF,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli K-12 MG1655 del_menF,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN10B_S29_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN10B_S29_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:delmenF,TRUE,TRUE
ecoli_00305,quinone__menF_ale5__1,Respiratory quinone,quinone,menF_ale5,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menF.5.42.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN11A_S36_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN11A_S36_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menF_ale5,TRUE,TRUE
ecoli_00306,quinone__menF_ale5__2,Respiratory quinone,quinone,menF_ale5,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menF.5.42.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN11B_S30_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN11B_S30_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menF_ale5,TRUE,TRUE
ecoli_00307,quinone__menF_ale6__1,Respiratory quinone,quinone,menF_ale6,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menF.6.42.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN12A_S31_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN12A_S31_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menF_ale6,TRUE,TRUE
ecoli_00308,quinone__menF_ale6__2,Respiratory quinone,quinone,menF_ale6,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menF.6.42.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN12B_S74_L004_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN12B_S74_L004_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menF_ale6,TRUE,TRUE
ecoli_00309,quinone__menF_ale7__1,Respiratory quinone,quinone,menF_ale7,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menF.7.43.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN13A_S80_L004_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN13A_S80_L004_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menF_ale7,TRUE,TRUE
ecoli_00310,quinone__menF_ale7__2,Respiratory quinone,quinone,menF_ale7,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menF.7.43.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN13B_S77_L004_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN13B_S77_L004_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menF_ale7,TRUE,TRUE
ecoli_00311,quinone__menF_ale8__1,Respiratory quinone,quinone,menF_ale8,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menF.8.45.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN14A_S70_L004_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN14A_S70_L004_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menF_ale8,TRUE,TRUE
ecoli_00312,quinone__menF_ale8__2,Respiratory quinone,quinone,menF_ale8,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menF.8.45.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN14B_S68_L004_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN14B_S68_L004_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menF_ale8,TRUE,TRUE
ecoli_00313,quinone__delmenFubiC__1,Respiratory quinone,quinone,delmenFubiC,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli K-12 MG1655 del_menFubiC,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN15A_S32_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN15A_S32_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:delmenFubiC,TRUE,TRUE
ecoli_00314,quinone__delmenFubiC__2,Respiratory quinone,quinone,delmenFubiC,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli K-12 MG1655 del_menFubiC,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN15B_S33_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN15B_S33_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:delmenFubiC,TRUE,TRUE
ecoli_00315,quinone__menFubiC_ale1__1,Respiratory quinone,quinone,menFubiC_ale1,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menFubiC.1.51.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN16A_S34_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN16A_S34_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menFubiC_ale1,TRUE,TRUE
ecoli_00316,quinone__menFubiC_ale1__2,Respiratory quinone,quinone,menFubiC_ale1,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menFubiC.1.51.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN16B_S35_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN16B_S35_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menFubiC_ale1,TRUE,TRUE
ecoli_00317,quinone__menFubiC_ale2__1,Respiratory quinone,quinone,menFubiC_ale2,1,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menFubiC.2.57.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN17A_S36_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN17A_S36_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menFubiC_ale2,TRUE,TRUE
ecoli_00318,quinone__menFubiC_ale2__2,Respiratory quinone,quinone,menFubiC_ale2,2,Amitesh Anand,Amitesh Anand,5/21/2018,Escherichia coli EEP_menFubiC.2.57.1,GMOS,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,Endpoint,Clonal,HiSeq 4000,,2,s3://precise-db/raw_data/quinone/HRS_QN17B_S37_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN17B_S37_L003_R2_001.fastq.gz,,,,,0,,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,quinone:menFubiC_ale2,TRUE,TRUE
